"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","AFG","Afghanistan",2016,0.306869366,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BGD","Bangladesh",2016,0.154151576,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BEN","Benin",2018,0.247912408,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BTN","Bhutan",2017,0.291790438,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BOL","Bolivia",2021,0.180046221,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BIH","Bosnia and Herzegovina",2015,0.095733774,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BRA","Brazil",2022,0.330710007,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","BFA","Burkina Faso",2018,0.16713345,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","KHM","Cambodia",2019,0.140886549,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","TCD","Chad",2018,0.603994509,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","CHL","Chile",2017,0.503329893,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","COL","Colombia",2022,0.211865584,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","COM","Comoros",2020,1.328407608,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","CIV","Cote d'Ivoire",2018,0.822152745,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","DJI","Djibouti",2017,2.503328936,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","SWZ","Eswatini",2016,0.274976845,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","ETH","Ethiopia",2021,0.21862319,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GAB","Gabon",2017,0.503703033,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GMB","Gambia, The",2018,0.209647209,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GHA","Ghana",2021,0.173635764,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GTM","Guatemala",2018,0.241530998,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GIN","Guinea",2018,0.266982076,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","GNB","Guinea-Bissau",2018,0.404616831,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","HTI","Haiti",2017,0.282995601,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","IDN","Indonesia",2019,0.100575059,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","KEN","Kenya",2019,0.205947672,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","KIR","Kiribati",2020,0.63510217,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","LSO","Lesotho",2017,0.272338136,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","LBR","Liberia",2016,0.097052521,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MWI","Malawi",2019,0.429089292,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MDV","Maldives",2009,0.895351436,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MLI","Mali",2018,0.180854078,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MRT","Mauritania",2021,0.270723141,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MUS","Mauritius",2011,0.089893069,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MEX","Mexico",2020,0.290658143,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MNG","Mongolia",2020,0.35095655,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MAR","Morocco",2014,0.401116829,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","MMR","Myanmar",2014,0.099639702,"Percent"
"Prevalence","adj_al_alot_dfcl_hearing","Persons (15+ years) with hearing disabilities (adjusted, % of population group)","adj_al_alot_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with hearing disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Hearing","NAM","Namibia",2015,0.362818263,"Percent"
