"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","AFG","Afghanistan",2016,0.677802452,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BGD","Bangladesh",2016,0.123266848,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BEN","Benin",2018,0.408654436,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BTN","Bhutan",2017,0.280018985,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BOL","Bolivia",2021,0.198410375,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BIH","Bosnia and Herzegovina",2015,0.420050155,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BRA","Brazil",2022,0.513765235,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","BFA","Burkina Faso",2018,0.348839823,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","KHM","Cambodia",2019,0.147615533,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","TCD","Chad",2018,0.903776771,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","CHL","Chile",2017,0.64488421,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","COL","Colombia",2022,0.423637842,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","COM","Comoros",2020,1.79824561,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","CIV","Cote d'Ivoire",2018,0.747793873,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","DJI","Djibouti",2017,2.285312232,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","SWZ","Eswatini",2016,0.239697461,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","ETH","Ethiopia",2021,0.34779317,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GAB","Gabon",2017,0.342633464,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GMB","Gambia, The",2018,0.363625673,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GHA","Ghana",2021,0.17879676,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GTM","Guatemala",2018,0.277868897,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GIN","Guinea",2018,0.434759775,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","GNB","Guinea-Bissau",2018,0.200550523,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","HTI","Haiti",2017,0.256980685,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","IDN","Indonesia",2019,0.135060228,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","KEN","Kenya",2019,0.235831905,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","KIR","Kiribati",2020,0.570912177,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","LSO","Lesotho",2017,0.229257755,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","LBR","Liberia",2016,0.236980239,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","MWI","Malawi",2019,0.275036404,"Percent"
"Prevalence","adj_al_alot_dfcl_mobility","Persons (15+ years) with mobility disabilities (adjusted, % of population group)","adj_al_alot_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with mobility disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","mobility","MDV","Maldives",2009,0.732453665,"Percent"
