"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","AFG","Afghanistan",2016,0.330114544,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BGD","Bangladesh",2016,0.110241035,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BEN","Benin",2018,0.324206606,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BTN","Bhutan",2017,0.117383299,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BOL","Bolivia",2021,0.107595457,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BIH","Bosnia and Herzegovina",2015,0.459473743,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BRA","Brazil",2022,1.258321744,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","BFA","Burkina Faso",2018,0.186490032,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","KHM","Cambodia",2019,0.219337577,"Percent"
"Prevalence","adj_al_alot_dfcl_seeing","Persons (15+ years) with visual disabilities (adjusted, % of population group)","adj_al_alot_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with visual disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Seeing","TCD","Chad",2018,0.751745398,"Percent"
