"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","AFG","Afghanistan",2016,0.35037077,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BGD","Bangladesh",2016,0.099205256,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BEN","Benin",2018,0.221596239,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BTN","Bhutan",2017,0.225448333,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BOL","Bolivia",2021,0.19873029,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BIH","Bosnia and Herzegovina",2015,0.368507936,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BRA","Brazil",2022,0.396844722,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","BFA","Burkina Faso",2018,0.143179452,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","KHM","Cambodia",2019,0.126737877,"Percent"
"Prevalence","adj_al_alot_dfcl_selfcare","Persons (15+ years) with self-care disabilities (adjusted, % of population group)","adj_al_alot_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with selfcare disabilities i.e. at least a lot of functional diifficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","At least a lot of difficulty","All","All","15 to 24","Selfcare","TCD","Chad",2018,0.348549374,"Percent"
