"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","AFG","Afghanistan",2016,1.899867616,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BGD","Bangladesh",2016,0.52326905,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BEN","Benin",2018,2.099637105,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BTN","Bhutan",2017,0.552143082,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BOL","Bolivia",2021,0.608442902,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BIH","Bosnia and Herzegovina",2015,1.138512686,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BRA","Brazil",2022,5.808910974,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","BFA","Burkina Faso",2018,0.850146313,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","KHM","Cambodia",2019,0.511769023,"Percent"
"Prevalence","adj_any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (adjusted, % of population group)","adj_any_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Cognition","TCD","Chad",2018,1.58899731,"Percent"
