"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","AFG","Afghanistan",2016,1.008670608,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BGD","Bangladesh",2016,0.581059256,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BEN","Benin",2018,0.700701307,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BTN","Bhutan",2017,1.404588818,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BOL","Bolivia",2021,0.550762698,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BIH","Bosnia and Herzegovina",2015,1.039744539,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BRA","Brazil",2022,2.095510877,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","BFA","Burkina Faso",2018,0.636260637,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","KHM","Cambodia",2019,0.463257492,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","TCD","Chad",2018,1.272265982,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","CHL","Chile",2017,2.187200839,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","COL","Colombia",2022,0.994582313,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","COM","Comoros",2020,3.002112669,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","CIV","Cote d'Ivoire",2018,1.129837327,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","DJI","Djibouti",2017,2.354949641,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","SWZ","Eswatini",2016,0.502362413,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","ETH","Ethiopia",2021,0.456418711,"Percent"
"Prevalence","adj_any_dfcl_comm","Persons (15+ years) with any degree of communication difficulty (adjusted, % of population group)","adj_any_dfcl_comm_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of communication difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","communication","GAB","Gabon",2017,2.054426147,"Percent"
