"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","AFG","Afghanistan",2016,1.632427102,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BGD","Bangladesh",2016,0.388072448,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BEN","Benin",2018,1.770609366,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BTN","Bhutan",2017,0.982557792,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BOL","Bolivia",2021,0.503665862,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BIH","Bosnia and Herzegovina",2015,0.952952188,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BRA","Brazil",2022,1.505823233,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","BFA","Burkina Faso",2018,0.754499242,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","KHM","Cambodia",2019,0.442689069,"Percent"
"Prevalence","adj_any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (adjusted, % of population group)","adj_any_dfcl_mobile_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of mobility difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","mobility","TCD","Chad",2018,3.067706864,"Percent"
