"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","AFG","Afghanistan",2016,1.37413719,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BGD","Bangladesh",2016,0.930944705,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BEN","Benin",2018,2.378533363,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BTN","Bhutan",2017,2.0161532,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BOL","Bolivia",2021,0.801815463,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BIH","Bosnia and Herzegovina",2015,2.719272412,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BRA","Brazil",2022,6.985977641,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","BFA","Burkina Faso",2018,0.682855585,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","KHM","Cambodia",2019,0.611023902,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","TCD","Chad",2018,3.031998518,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","CHL","Chile",2017,5.320685854,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","COL","Colombia",2022,3.121754999,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","COM","Comoros",2020,3.354494464,"Percent"
"Prevalence","adj_any_dfcl_seeing","Persons (15+ years) with any degree of seeing difficulty (adjusted, % of population group)","adj_any_dfcl_seeing_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of seeing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Seeing","CIV","Cote d'Ivoire",2018,4.358631582,"Percent"
