"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","AFG","Afghanistan",2016,0.588800522,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BGD","Bangladesh",2016,0.319039984,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BEN","Benin",2018,0.88368808,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BTN","Bhutan",2017,0.531198623,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BOL","Bolivia",2021,0.37371301,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BIH","Bosnia and Herzegovina",2015,0.780211469,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BRA","Brazil",2022,0.82380271,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","BFA","Burkina Faso",2018,0.45641738,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","KHM","Cambodia",2019,0.397742054,"Percent"
"Prevalence","adj_any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (adjusted, % of population group)","adj_any_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with any degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 24","Selfcare","TCD","Chad",2018,0.814197671,"Percent"
