"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","AFG","Afghanistan",2016,3.490674239,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BGD","Bangladesh",2016,1.565779258,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BEN","Benin",2018,5.554157694,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BTN","Bhutan",2017,3.830200273,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BOL","Bolivia",2021,1.361765849,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BIH","Bosnia and Herzegovina",2015,3.075046707,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BRA","Brazil",2022,10.72833163,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","BFA","Burkina Faso",2018,2.393347916,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","KHM","Cambodia",2019,0.775417582,"Percent"
"Prevalence","adj_some_dfcl","Persons (15+ years) with some degree of difficulty (adjusted, % of population group)","adj_some_dfcl_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of functional difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 24","All","TCD","Chad",2018,6.018194621,"Percent"
