"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","AFG","Afghanistan",2016,1.263620544,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BGD","Bangladesh",2016,0.310873588,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BEN","Benin",2018,1.691610735,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BTN","Bhutan",2017,0.354690757,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BOL","Bolivia",2021,0.33492533,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BIH","Bosnia and Herzegovina",2015,0.567595142,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BRA","Brazil",2022,4.518073864,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","BFA","Burkina Faso",2018,0.679389997,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","KHM","Cambodia",2019,0.363768398,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","TCD","Chad",2018,1.094198559,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","CHL","Chile",2017,2.591878571,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","COL","Colombia",2022,0.647382267,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","COM","Comoros",2020,0.686189244,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","CIV","Cote d'Ivoire",2018,0.81472463,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","DJI","Djibouti",2017,0.268336551,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","SWZ","Eswatini",2016,1.690229209,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","ETH","Ethiopia",2021,0.2952391,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GAB","Gabon",2017,1.159169772,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GMB","Gambia, The",2018,1.161898163,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GHA","Ghana",2021,0.680778338,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GTM","Guatemala",2018,0.538480447,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GIN","Guinea",2018,0.801254555,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","GNB","Guinea-Bissau",2018,0.982061832,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","HTI","Haiti",2017,2.102194975,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","KEN","Kenya",2019,0.660096234,"Percent"
"Prevalence","adj_some_dfcl_cogn","Persons (15+ years) with some degree of cognitive difficulty (adjusted, % of population group)","adj_some_dfcl_cogn_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of cognitive difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Cognition","KIR","Kiribati",2020,2.039693668,"Percent"
