"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","AFG","Afghanistan",2016,0.789478362,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BGD","Bangladesh",2016,0.48368974,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BEN","Benin",2018,0.7003729,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BTN","Bhutan",2017,0.84113454,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BOL","Bolivia",2021,0.170149906,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BIH","Bosnia and Herzegovina",2015,0.547985152,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BRA","Brazil",2022,1.063259345,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","BFA","Burkina Faso",2018,0.504064897,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","KHM","Cambodia",2019,0.419101396,"Percent"
"Prevalence","adj_some_dfcl_hearing","Persons (15+ years) with some degree of hearing difficulty (adjusted, % of population group)","adj_some_dfcl_hearing_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of hearing difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Hearing","TCD","Chad",2018,1.509340218,"Percent"
