"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","AFG","Afghanistan",2016,0.238429751,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BGD","Bangladesh",2016,0.219834728,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BEN","Benin",2018,0.662091841,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BTN","Bhutan",2017,0.30575029,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BOL","Bolivia",2021,0.17498272,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BIH","Bosnia and Herzegovina",2015,0.411703533,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BRA","Brazil",2022,0.426957988,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","BFA","Burkina Faso",2018,0.313237928,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","KHM","Cambodia",2019,0.271004177,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","TCD","Chad",2018,0.465648297,"Percent"
"Prevalence","adj_some_dfcl_selfcare","Persons (15+ years) with some degree of difficulty with self-care (adjusted, % of population group)","adj_some_dfcl_selfcare_1524","Adjusted prevalence of Persons aged 15 to 24 years with some degree of selfcare difficulty (% of Persons aged 15 to 24 years)","Level of difficulty, Type of difficulty, Age","Some difficulty","All","All","15 to 24","Selfcare","CHL","Chile",2017,1.098268435,"Percent"
