"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,5.996718575,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,2.289768824,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BEN","Benin",2018,7.697514895,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,5.075754682,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,1.982594412,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,4.525848225,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BRA","Brazil",2022,14.5381509,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,3.423538672,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,1.302973952,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,7.690812621,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","TCD","Chad",2018,10.41379885,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","CHL","Chile",2017,9.607297293,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","COL","Colombia",2022,6.545600103,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","COM","Comoros",2020,7.196077087,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,8.675204769,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,4.515482589,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,10.34274838,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","ETH","Ethiopia",2021,2.136825596,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","GAB","Gabon",2017,11.81019952,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","GMB","Gambia, The",2018,4.892009579,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","GHA","Ghana",2021,3.858174557,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,5.036981505,"Percent"
"Prevalence","any_dfcl","Persons (15+ years) with any degree of difficulty (non-adjusted, % of population group)","any_dfcl_1529","Prevalence of Persons aged 15 to 29 years with any degree of functional difficulties (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Any difficulty","All","All","15 to 29","All","GIN","Guinea",2018,6.38701405,"Percent"
