"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","AFG","Afghanistan",2016,2.192008275,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BGD","Bangladesh",2016,0.514697135,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BEN","Benin",2018,2.237447284,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BTN","Bhutan",2017,0.607347384,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BOL","Bolivia",2021,0.57760157,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BIH","Bosnia and Herzegovina",2015,1.014763436,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BRA","Brazil",2022,6.103393738,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","BFA","Burkina Faso",2018,0.881429924,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","KHM","Cambodia",2019,0.557720801,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","KHM","Cambodia",2022,3.728308276,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","TCD","Chad",2018,1.972958609,"Percent"
"Prevalence","any_dfcl_cogn","Persons (15+ years) with any degree of cognitive difficulty (non-adjusted, % of population group)","any_dfcl_cogn_1529","Prevalence of Persons aged 15 to 29 years with any degree of cognitive difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Cognition","CHL","Chile",2017,3.083311532,"Percent"
