"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","AFG","Afghanistan",2016,2.02391358,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BGD","Bangladesh",2016,0.401541209,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BEN","Benin",2018,2.065902001,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BTN","Bhutan",2017,0.9457186,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BOL","Bolivia",2021,0.491275882,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BIH","Bosnia and Herzegovina",2015,0.980717206,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BRA","Brazil",2022,1.66618809,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","BFA","Burkina Faso",2018,0.845827942,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","KHM","Cambodia",2019,0.483027865,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","KHM","Cambodia",2022,1.560858807,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","TCD","Chad",2018,3.786121698,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","CHL","Chile",2017,1.804242167,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","COL","Colombia",2022,2.054086814,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","COM","Comoros",2020,2.634877057,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","CIV","Cote d'Ivoire",2018,2.220552245,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","DJI","Djibouti",2017,2.747948705,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","SWZ","Eswatini",2016,0.769166718,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","ETH","Ethiopia",2021,0.608850581,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GAB","Gabon",2017,1.484291382,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GMB","Gambia, The",2018,1.768545905,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GHA","Ghana",2021,0.95183548,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GTM","Guatemala",2018,0.801131948,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GIN","Guinea",2018,2.478639188,"Percent"
"Prevalence","any_dfcl_mobility","Persons (15+ years) with any degree of mobility difficulty (non-adjusted, % of population group)","any_dfcl_mobile_1529","Prevalence of Persons aged 15 to 29 years with any degree of mobility difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","mobility","GNB","Guinea-Bissau",2018,1.363030611,"Percent"
