"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","AFG","Afghanistan",2016,0.545939837,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BGD","Bangladesh",2016,0.319356327,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BEN","Benin",2018,0.838613348,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BTN","Bhutan",2017,0.543448088,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BOL","Bolivia",2021,0.342897677,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BIH","Bosnia and Herzegovina",2015,0.80472343,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BRA","Brazil",2022,0.830845918,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","BFA","Burkina Faso",2018,0.420345419,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","KHM","Cambodia",2019,0.423928762,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","KHM","Cambodia",2022,1.03988709,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","TCD","Chad",2018,0.948920506,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","CHL","Chile",2017,1.579144807,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","COL","Colombia",2022,0.54295869,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","COM","Comoros",2020,2.031729328,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","CIV","Cote d'Ivoire",2018,0.9999521,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","SWZ","Eswatini",2016,0.265107751,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","ETH","Ethiopia",2021,0.412690602,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GAB","Gabon",2017,0.536086635,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GMB","Gambia, The",2018,1.182331169,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GHA","Ghana",2021,0.425713051,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GTM","Guatemala",2018,0.402527777,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GIN","Guinea",2018,0.673487608,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","GNB","Guinea-Bissau",2018,0.716124616,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","HTI","Haiti",2017,0.446115187,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","KEN","Kenya",2019,0.438487982,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","KIR","Kiribati",2020,0.812073052,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","LSO","Lesotho",2017,0.38025375,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","LBR","Liberia",2016,0.601646501,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MWI","Malawi",2019,0.359862952,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MDV","Maldives",2009,0.555599499,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MLI","Mali",2018,0.330052973,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MRT","Mauritania",2021,0.488175347,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MUS","Mauritius",2011,0.341039632,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MEX","Mexico",2020,0.513875935,"Percent"
"Prevalence","any_dfcl_selfcare","Persons (15+ years) with any degree of difficulty with self-care (non-adjusted, % of population group)","any_dfcl_selfcare_1529","Prevalence of Persons aged 15 to 29 years with any degree of selfcare difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Type of difficulty, Age","Any difficulty","All","All","15 to 29","Selfcare","MNG","Mongolia",2020,0.713368526,"Percent"
