"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_1529","Women subjected to violence in the last 12 months (% of ever-partnered women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","UGA","Uganda",2016,44.69982551,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_3044","Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","KEN","Kenya",2022,38.78579384,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_3044","Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","NPL","Nepal",2022,22.27053623,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_3044","Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","PAK","Pakistan",2018,25.89596677,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_3044","Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","ZAF","South Africa",2016,17.61535798,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_3044","Women subjected to violence in the last 12 months (% of ever-partnered women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","UGA","Uganda",2016,46.70355763,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_all","Women subjected to violence in the last 12 months (% of ever-partnered women with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KEN","Kenya",2022,35.08963009,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_all","Women subjected to violence in the last 12 months (% of ever-partnered women with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","NPL","Nepal",2022,28.66087145,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_all","Women subjected to violence in the last 12 months (% of ever-partnered women with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","PAK","Pakistan",2018,30.40625519,"Percent"
"Gender","avlc","Women subjected to violence in the last 12 months (% of ever-partnered women with relevant disability category)","avlc_al_alot_dfcl_all","Women subjected to violence in the last 12 months (% of ever-partnered women with disability i.e. at least a lot of functional diifficulty)","Level of difficulty","At least a lot of difficulty","All","All","All","All","ZAF","South Africa",2016,18.92384973,"Percent"
