"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,93.3305064,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,77.88048146,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,42.58185662,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,99.31939074,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,95.49312664,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,100,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,57.29207091,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,78.78083114,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,88.92489071,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,19.60447344,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,99.79636468,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,99.19442967,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,85.32049298,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,82.32197128,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,59.04454556,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,55.39598558,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2018,48.22512274,"Percent"
"Assets and Standards of Living","elc","Persons (15+ years) with access to electricity (% of population group with relevant disability category)","elc_al_alot_dfcl_1529","Persons aged 15 to 29 years with electricity (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,95.03684085,"Percent"
