"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,49.78356585,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,79.84361885,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,36.3759291,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,57.56166997,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,89.75037062,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,39.36002873,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,57.33939174,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,56.89426241,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,20.4400694,"Percent"
"Insecurity","fdis","Persons (15+ years) living in food insecure households (% of population group with relevant disability category)","fdis_al_alot_dfcl_1529","Persons aged 15 to 29 years in food insecure households (% Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,82.95732715,"Percent"
