"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_1529","Women with family planning needs met (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,7.233405545,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_1529","Women with family planning needs met (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2022,84.66354075,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_1529","Women with family planning needs met (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MDV","Maldives",2009,26.18520071,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_1529","Women with family planning needs met (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","RWA","Rwanda",2020,77.81094197,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_1529","Women with family planning needs met (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","UGA","Uganda",2016,52.65042908,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","AFG","Afghanistan",2016,20.28748804,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","KHM","Cambodia",2022,56.97646479,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","KEN","Kenya",2022,84.86432577,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","MDV","Maldives",2009,50.79077589,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","NPL","Nepal",2022,72.83249147,"Percent"
"Health","fplm","Women with family planning needs met (% of women with relevant disability category)","fplm_al_alot_dfcl_3044","Women with family planning needs met (% of women aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","PAK","Pakistan",2018,45.98873636,"Percent"
