"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,90.03093122,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,87.81448469,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,94.88593654,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,90.35836622,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,87.84004887,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,95.5668448,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,91.0826856,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,88.80746269,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,68.81215582,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,88.31863661,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,100,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,95.9196915,"Percent"
"Digital Connectivity and Technology","hh_cel","Persons (15+ years) with access to a mobility phone at home (% of population group with relevant disability category)","hh_cel_al_alot_dfcl_1529","Persons aged 15 to 29 years in households with a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,73.78607458,"Percent"
