"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","AFG","Afghanistan",2016,16.6478786,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BGD","Bangladesh",2016,4.131246187,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BEN","Benin",2018,11.3626177,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BTN","Bhutan",2017,8.769666677,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BOL","Bolivia",2021,3.091728104,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BIH","Bosnia and Herzegovina",2015,23.3314592,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BRA","Brazil",2022,17.90480305,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","BFA","Burkina Faso",2018,10.08314395,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KHM","Cambodia",2019,3.661560995,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","KHM","Cambodia",2022,12.48591292,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","TCD","Chad",2018,15.06206322,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","CHL","Chile",2017,20.55771442,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","COL","Colombia",2022,9.883632399,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","COM","Comoros",2020,14.28559694,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","CIV","Cote d'Ivoire",2018,10.7269948,"Percent"
"Prevalence","hh_prev_al_alot_dfcl","Households with a member with disabilities (% of households)","hh_prev_al_alot_dfcl_all","Prevalence of households that have Persons with disability i.e. at least a lot of functional diifficulty (% of households)","Level of difficulty","At least a lot of difficulty","All","All","All","All","DJI","Djibouti",2017,11.20618123,"Percent"
