"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","AFG","Afghanistan",2016,40.99395852,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BGD","Bangladesh",2016,17.88776173,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BEN","Benin",2018,34.89969716,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BTN","Bhutan",2017,32.33973654,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BOL","Bolivia",2021,15.8991781,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BIH","Bosnia and Herzegovina",2015,56.32736188,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BRA","Brazil",2022,47.59273029,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","BFA","Burkina Faso",2018,29.26342285,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","KHM","Cambodia",2019,13.04201454,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","KHM","Cambodia",2022,54.28249364,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","TCD","Chad",2018,46.63510323,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","CHL","Chile",2017,40.20014387,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","COL","Colombia",2022,29.69121057,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","COM","Comoros",2020,32.90908224,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","CIV","Cote d'Ivoire",2018,36.24059037,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","DJI","Djibouti",2017,28.4445433,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","SWZ","Eswatini",2016,41.61817056,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","ETH","Ethiopia",2021,17.10450675,"Percent"
"Prevalence","hh_prev_any_dfcl","Households with a member with any degree of difficulty (% of households)","hh_prev_any_dfcl_all","Prevalence of households that have Persons with any degree of functional difficulty (% of households)","Level of difficulty","Any difficulty","All","All","All","All","GAB","Gabon",2017,33.88890803,"Percent"
