"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","AFG","Afghanistan",2016,24.34607992,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BGD","Bangladesh",2016,13.75651554,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BEN","Benin",2018,23.53707946,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BTN","Bhutan",2017,23.57006986,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BOL","Bolivia",2021,12.80745,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BIH","Bosnia and Herzegovina",2015,32.99590267,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BRA","Brazil",2022,29.68792724,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","BFA","Burkina Faso",2018,19.1802789,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","KHM","Cambodia",2019,9.380453543,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","KHM","Cambodia",2022,41.79658071,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","TCD","Chad",2018,31.57304001,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","CHL","Chile",2017,19.64242945,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","COL","Colombia",2022,19.80757817,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","COM","Comoros",2020,18.6234853,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","CIV","Cote d'Ivoire",2018,25.51359557,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","DJI","Djibouti",2017,17.23836207,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","SWZ","Eswatini",2016,28.58694364,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","ETH","Ethiopia",2021,11.60255737,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","GAB","Gabon",2017,21.96628277,"Percent"
"Prevalence","hh_prev_some_dfcl","Households with a member with some degree of difficulty (% of households)","hh_prev_some_dfcl_all","Prevalence of households that have Persons with some degree of functional difficulty (% of households)","Level of difficulty","Some difficulty","All","All","All","All","GMB","Gambia, The",2018,20.29773583,"Percent"
