"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,0.257891317,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,85.01850101,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,3.33818895,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,11.53934457,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,0,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,95.95098964,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,0.342163506,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,1.285788066,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SWZ","Eswatini",2016,0.281535152,"Percent"
"Health","htin","Persons (15+ years) with health insurance (% of population group with relevant disability category)","htin_al_alot_dfcl_1529","Persons aged 15 to 29 years with health insurance (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2018,20.06742556,"Percent"
