"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,24.70350467,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,6.442610902,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,30.73015484,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,65.93373579,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","DJI","Djibouti",2017,4.477447449,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2018,32.78444086,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,49.91695079,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GMB","Gambia, The",2018,29.62009034,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,97.56267258,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,41.67988132,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,60.35186488,"Percent"
"Employment and Time Use","ifrm","Persons (15+ years) engaged in informal work (% of population group with relevant disability category)","ifrm_al_alot_dfcl_1529","Persons aged 15 to 29 years in informal work (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,15.60402685,"Percent"
