"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,34.89633352,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,50.81741221,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,56.52239656,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,47.34125389,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,53.65060586,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,74.69886151,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BRA","Brazil",2022,87.61119181,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,35.66507764,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,71.99339005,"Percent"
"Education","litr","Literate Persons (15+ years) (% of population group with relevant disability category)","litr_al_alot_dfcl_1529","Literacy rate (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,37.05646361,"Percent"
