"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,0,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,0.145586858,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,0.896275129,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BRA","Brazil",2022,0.796366766,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,0.449933515,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,0.27448534,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,0,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,0.247752015,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,1.232025539,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,1.040743173,"Percent"
"Gender","mgrw","Women in managerial positions (% of women with relevant disability category)","mgrw_al_alot_dfcl_1529","Women in managerial positions (% of women aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,0,"Percent"
