"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,9.886876901,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,12.59777224,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BRA","Brazil",2022,11.90981801,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,3.22152137,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,18.72982941,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,4.448581446,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,0.391974623,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COL","Colombia",2022,10.28199911,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,17.97856716,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2021,5.907382,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,7.405581229,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GMB","Gambia, The",2018,0,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,11.4435688,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,18.93847373,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GIN","Guinea",2018,14.35139796,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GNB","Guinea-Bissau",2018,9.701972197,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","IDN","Indonesia",2019,20.86136948,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,0.619282196,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,5.194805195,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MWI","Malawi",2019,0,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MLI","Mali",2018,3.130722935,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MEX","Mexico",2020,18.74771337,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MAR","Morocco",2014,14.66809422,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MMR","Myanmar",2014,4.644683148,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NAM","Namibia",2015,3.226102553,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NER","Niger",2018,1.581380214,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PAK","Pakistan",2020,20.2683075,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SEN","Senegal",2018,20.31569669,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SLE","Sierra Leone",2018,5.259950104,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TZA","Tanzania",2020,2.1833814,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TGO","Togo",2018,14.42459547,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TON","Tonga",2016,9.565217391,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VUT","Vanuatu",2009,1.176470588,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","VNM","Viet Nam",2019,26.1680859,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_1529","Working individuals in manufacturing (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZWE","Zimbabwe",2017,0,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_3044","Working individuals in manufacturing (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","AFG","Afghanistan",2016,6.883617672,"Percent"
"Employment and Time Use","mnfw","Persons (15+ years) working in manufacturing (% of population group with relevant disability category)","mnfw_al_alot_dfcl_3044","Working individuals in manufacturing (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BEN","Benin",2018,12.92444661,"Percent"
