"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,38.75047078,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,64.35563314,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,85.18409637,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,55.76792903,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,53.37949448,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GTM","Guatemala",2018,35.21374829,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","HTI","Haiti",2017,31.14035258,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,23.35683259,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,27.85234899,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MDV","Maldives",2009,25.23660995,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MLI","Mali",2018,23.7093889,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MRT","Mauritania",2021,47.7368205,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MEX","Mexico",2020,33.93141009,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MNG","Mongolia",2020,53.6,"Percent"
"Digital Connectivity and Technology","netu","Persons (15+ years) using the Internet (% of population group with relevant disability category)","netu_al_alot_dfcl_1529","Persons aged 15 to 29 years using the Internet (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MAR","Morocco",2014,119.5030988,"Percent"
