"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,32.48829484,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,36.81413425,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,33.24197778,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,40.78428302,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,69.44471541,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,27.70240847,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CHL","Chile",2017,88.31863661,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","COM","Comoros",2020,45.29764734,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","CIV","Cote d'Ivoire",2018,53.74929537,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ETH","Ethiopia",2018,21.83222478,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GAB","Gabon",2017,71.61964737,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GHA","Ghana",2021,61.27919867,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GIN","Guinea",2018,56.56506661,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","GNB","Guinea-Bissau",2018,53.3041643,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","HTI","Haiti",2017,50.62268868,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KEN","Kenya",2019,39.2342792,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KIR","Kiribati",2020,23.82550336,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MWI","Malawi",2019,9.39962314,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MLI","Mali",2018,70.61040072,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MRT","Mauritania",2021,75.34019414,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MEX","Mexico",2020,79.89468447,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","MNG","Mongolia",2020,73.6,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NPL","Nepal",2022,68.14515402,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NER","Niger",2018,34.67669156,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","NGA","Nigeria",2018,25.53121895,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","PAK","Pakistan",2018,43.57289657,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","RWA","Rwanda",2020,39.9929715,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SEN","Senegal",2018,68.18445426,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SLE","Sierra Leone",2018,40.23950712,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","SOM","Somalia",2022,53.560264,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","ZAF","South Africa",2016,85.11324925,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","LKA","Sri Lanka",2021,27.03819907,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TZA","Tanzania",2022,38.59014551,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TGO","Togo",2018,30.58559926,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_1529","Persons aged 15 to 29 years owing a mobility phone (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","UGA","Uganda",2016,32.42692379,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_3044","Persons aged 30 to 44 years owing a mobility phone (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BGD","Bangladesh",2016,43.43635456,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_3044","Persons aged 30 to 44 years owing a mobility phone (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BEN","Benin",2018,64.72415403,"Percent"
"Digital Connectivity and Technology","ocel","Persons (15+ years) owing a mobility phone (% of population group with relevant disability category)","ocel_al_alot_dfcl_3044","Persons aged 30 to 44 years owing a mobility phone (% of Persons aged 30 to 44 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","30 to 44","All","BOL","Bolivia",2021,52.00261964,"Percent"
