"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,39.01422348,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,41.95894339,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BEN","Benin",2018,11.7868692,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,80.7024888,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,11.18127832,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,95.08715904,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,8.206577634,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,66.60750352,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,75.46542161,"Percent"
"Assets and Standards of Living","san","Persons (15+ years) living in households with improved sanitation services (% of population group with relevant disability category)","san_al_alot_dfcl_1529","Persons aged 15 to 29 years in households using improved sanitation services (% of Persons aged 15 to 29 years with disability i.e. at least a lot of functional diifficulty)","Level of difficulty, Age","At least a lot of difficulty","All","All","15 to 29","All","TCD","Chad",2018,3.239342551,"Percent"
