"Sector","Indicator_Group_Code","Indicator_Group_Name","Indicator_Code","Indicator_Name","Disaggregation_Type","Level_Of_Difficulty","Sex","Location","Age","Type_Of_Disability","Country_Code","Country_Name","Time","Data","Units_Of_Measure"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","AFG","Afghanistan",2016,4.118336736,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BGD","Bangladesh",2016,1.682679731,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BEN","Benin",2018,5.985204191,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BTN","Bhutan",2017,4.167992132,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BOL","Bolivia",2021,1.370853041,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BIH","Bosnia and Herzegovina",2015,3.267402133,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BRA","Brazil",2022,11.27979284,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","BFA","Burkina Faso",2018,2.3461467,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","KHM","Cambodia",2019,0.888010374,"Percent"
"Prevalence","some_dfcl","Persons (15+ years) with some degree of difficulty (non-adjusted, % of population group)","some_dfcl_1529","Prevalence of Persons aged 15 to 29 years with some degree of functional difficulty (% of Persons aged 15 to 29 years)","Level of difficulty, Age","Some difficulty","All","All","15 to 29","All","KHM","Cambodia",2022,6.314998327,"Percent"
